key;result
7c7e78998776497ab7a003c5b3bc5875;{"time": "2018-12-06T13:00:17.813599", "fingerprints": ["ba5715d96dce5332fbea5a273f386bacfb026934", "ba5715d96dce5332fbea5a273f386bacfb026934", "ba5715d96dce5332fbea5a273f386bacfb026934", "ba5715d96dce5332fbea5a273f386bacfb026934", "ba5715d96dce5332fbea5a273f386bacfb026934"], "cookie_id": "a74ee9413d6c4e98a18895eb06d3e562"}
cee86368490844679b6dc3da9ef6b2e0;{ }
836b69d633ef4555a32d40c69dd64b96;{"time": "2018-12-06T13:00:10.506007", "fingerprints": ["5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a"], "cookie_id": "0d7b25668914481cbee43872df14e514"}
74342833be5c4c12984235aa70c97062;{"time": "2018-12-06T13:00:34.950311", "fingerprints": ["8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39"], "cookie_id": "8ba8ce10cf87469b9539ada19032105e"}
bebc5594fd3945b087c3e8e7dc1647ce;{"time": "2018-12-06T13:03:54.983451", "fingerprints": ["848509c37d34a93b6a8238670f326dd8069e66ac", "848509c37d34a93b6a8238670f326dd8069e66ac", "848509c37d34a93b6a8238670f326dd8069e66ac", "848509c37d34a93b6a8238670f326dd8069e66ac", "848509c37d34a93b6a8238670f326dd8069e66ac"], "cookie_id": "e00e928cbc7e49838808a03b9af8f475"}
ba5b2255592640c1960954e139fb1aa0;{"time": "2018-12-06T13:01:32.657643", "fingerprints": ["8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39", "8251a75734d2bdf0b407982efd19920e7b45ef39"], "cookie_id": "8ba8ce10cf87469b9539ada19032105e"}
c599c3d82d75496fabb5f2e5ede5f370;{"time": "2018-12-06T13:03:35.147380", "fingerprints": ["91b35bf67779b5575df9b8a0820c93be68997424", "91b35bf67779b5575df9b8a0820c93be68997424", "91b35bf67779b5575df9b8a0820c93be68997424", "91b35bf67779b5575df9b8a0820c93be68997424", "91b35bf67779b5575df9b8a0820c93be68997424"], "cookie_id": "c50256a1699d45e2a74627e367352c23"}
69e7c38a0e67496cba0284b5154d52a3;{"time": "2018-12-06T12:59:46.945535", "fingerprints": ["d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca"], "cookie_id": "3097455a7a674aacaab4bfde6c936634"}
4da0cafc39d4420bbfd14b360daebfd9;{"time": "2018-12-06T13:01:28.215422", "fingerprints": ["58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca"], "cookie_id": "7546b5c6aadb4e63a8a3d135b6700abb"}
7041952a65314d3aa62ef5c9573f97d2;{"time": "2018-12-06T13:01:09.367713", "fingerprints": ["2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808"], "cookie_id": "f2d736ec8b33416c97c02bd6e01f95cb"}
168ac3a999024da6b3bd8d8c0cce5f69;{"time": "2018-12-06T13:01:40.103803", "fingerprints": ["06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac"], "cookie_id": "96f436bf85b340d1976285d85167515b"}
3a51ccb371ea42cdadfc953953ed7e43;{"time": "2018-12-06T13:00:46.010596", "fingerprints": ["d804c3051fe7d6f8e920383387c1a214737a6f12", "d804c3051fe7d6f8e920383387c1a214737a6f12", "d804c3051fe7d6f8e920383387c1a214737a6f12", "d804c3051fe7d6f8e920383387c1a214737a6f12", "d804c3051fe7d6f8e920383387c1a214737a6f12"], "cookie_id": "a8e85855ddd7438aac8de177e888db87"}
b2553a53c16d418b969368754c90eba8;{"time": "2018-12-06T13:02:48.121737", "fingerprints": ["b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd"], "cookie_id": "f1d74127ad9f4d6dba0305fe6e622242"}
d5acbebb15c04f25a74aeab72bfc3496;{"time": "2018-12-06T13:02:06.348907", "fingerprints": ["98c76a40a8348333cebaabcc1de9c5bdc43dad23", "98c76a40a8348333cebaabcc1de9c5bdc43dad23", "98c76a40a8348333cebaabcc1de9c5bdc43dad23", "98c76a40a8348333cebaabcc1de9c5bdc43dad23", "98c76a40a8348333cebaabcc1de9c5bdc43dad23"], "cookie_id": "abaa894dbd674dd6abd5cb9b7c40106e"}
a3a3f8c9ae67450ea8bbc3766fb2a6ed;{"time": "2018-12-06T13:02:04.107493", "fingerprints": ["ead994cedeaae5ddcfb265b72d4260dcc9991e38", "ead994cedeaae5ddcfb265b72d4260dcc9991e38", "ead994cedeaae5ddcfb265b72d4260dcc9991e38", "ead994cedeaae5ddcfb265b72d4260dcc9991e38", "ead994cedeaae5ddcfb265b72d4260dcc9991e38"], "cookie_id": "f49faf90143d454fa29ebb0315432c15"}
